state_name,state_cd,2010,2011,2012,2013,2014,2015,2016
Alabama,AL,10.5,9.6,8,7.2,6.8,6.1,6.1
Alaska,AK,7.9,7.6,7.1,6.9,6.9,6.5,6.6
Arizona,AZ,10.4,9.5,8.3,7.7,6.8,6.1,5.5
Arkansas,AR,8.2,8.3,7.6,7.3,6.1,5.2,3.9
California,CA,12.2,11.7,10.4,8.9,7.5,6.2,5.3
Colorado,CO,8.7,8.4,7.9,6.8,5,3.9,3.1
Connecticut,CT,9.1,8.8,8.3,7.8,6.6,5.6,5.7
Delaware,DE,8.4,7.5,7.2,6.7,5.7,4.9,4.2
District of Columbia,DC,9.4,10.2,9,8.5,7.8,6.9,6.4
Florida,FL,11.1,10,8.5,7.3,6.3,5.4,4.8
Georgia,GA,10.5,10.2,9.2,8.2,7.1,5.9,5.5
Hawaii,HI,6.9,6.8,6,4.9,4.4,3.6,3.2
Idaho,ID,9,8.3,7.2,6.2,4.8,4.1,3.7
Illinois,IL,10.4,9.7,9,9.1,7.1,5.9,6.6
Indiana,IN,10.4,9.1,8.3,7.7,5.9,4.8,5.2
Iowa,IA,6,5.5,5.1,4.7,4.2,3.7,3.9
Kansas,KS,7.1,6.5,5.7,5.3,4.6,4.2,3.8
Kentucky,KY,10.2,9.4,8.2,8.1,6.5,5.4,5.3
Louisiana,LA,8,7.8,7.1,6.7,6.4,6.3,6.3
Maine,ME,8.1,7.9,7.5,6.6,5.6,4.4,3.4
Maryland,MD,7.7,7.2,7,6.6,5.8,5.2,4.6
Massachusetts,MA,8.3,7.3,6.7,6.7,5.7,5,4.2
Michigan,MI,12.6,10.4,9.1,8.8,7.3,5.4,4.8
Minnesota,MN,7.4,6.5,5.6,4.9,4.2,3.7,3.8
Mississippi,MS,10.4,10,9,8.6,7.6,6.5,6
Missouri,MO,9.6,8.5,7,6.7,6.2,5,4.3
Montana,MT,7.3,6.9,6,5.4,4.7,4.1,4.2
Nebraska,NE,4.6,4.4,4,3.8,3.3,3,3
Nevada,NV,13.5,13,11.2,9.6,7.9,6.7,5.8
New Hampshire,NH,5.8,5.4,5.5,5.1,4.3,3.4,2.6
New Jersey,NJ,9.5,9.3,9.3,8.2,6.7,5.6,4.7
New Mexico,NM,8.1,7.5,7.1,7,6.7,6.6,6.2
New York,NY,8.6,8.3,8.5,7.7,6.3,5.3,4.9
North Carolina,NC,10.9,10.3,9.3,7.9,6.3,5.7,5.4
North Dakota,ND,3.8,3.5,3.1,2.9,2.7,2.7,3.2
Ohio,OH,10.3,8.8,7.4,7.5,5.8,4.9,5.2
Oklahoma,OK,6.8,5.9,5.3,5.3,4.5,4.2,4.5
Oregon,OR,10.6,9.5,8.8,7.9,6.8,5.7,4.5
Pennsylvania,PA,8.5,7.9,7.8,7.4,5.9,5.1,5.3
Rhode Island,RI,11.2,11,10.4,9.3,7.7,6,5.3
South Carolina,SC,11.2,10.6,9.2,7.6,6.4,6,5.8
South Dakota,SD,5,4.7,4.3,3.8,3.4,3.1,2.5
Tennessee,TN,9.7,9,7.8,7.8,6.5,5.8,4.3
Texas,TX,8.1,7.8,6.7,6.2,5.1,4.5,4.4
Utah,UT,7.8,6.7,5.4,4.6,3.8,3.5,3.7
Vermont,VT,6.1,5.5,5,4.4,4,3.7,3.2
Virginia,VA,7.1,6.6,6,5.7,5.2,4.4,3.9
Washington,WA,10,9.3,8.1,7,6.1,5.7,5.8
West Virginia,WV,8.7,8.1,7.5,6.7,6.6,6.7,6.4
Wisconsin,WI,8.7,7.8,7,6.7,5.4,4.6,4.4
Wyoming,WY,6.4,5.8,5.3,4.7,4.1,4.2,5.5
